,player,timestamp,play,pos,prflop,flop,turn,river,bankroll,action,winnings,c1,c2
73,AJ-sOOted,986106316.0,6.0,3.0,cc,kc,k,k,333.0,30.0,105.0,2h,2d
57,RiverBoy,986106316.0,6.0,2.0,Bf,-,-,-,3312.0,10.0,0.0,XX,XX
63,RobVegas,986106316.0,6.0,5.0,c,c,KQ,-,2671.0,30.0,0.0,XX,XX
31,SexyBoy,986106316.0,6.0,6.0,f,-,-,-,1898.0,0.0,0.0,XX,XX
32,markh,986106316.0,6.0,4.0,r,b,k,k,2774.0,30.0,0.0,Kh,Ah
55,pokibot,986106316.0,6.0,1.0,Bf,-,-,-,15964.0,5.0,0.0,XX,XX
74,AJ-sOOted,986106391.0,6.0,2.0,Bf,-,-,-,408.0,10.0,0.0,XX,XX
58,RiverBoy,986106391.0,6.0,1.0,Bc,krc,bc,kc,3282.0,110.0,230.0,Jh,Qh
32,SexyBoy,986106391.0,6.0,5.0,f,-,-,-,1818.0,0.0,0.0,XX,XX
0,hannibal,986106391.0,6.0,4.0,r,br,r,b,887.0,110.0,0.0,Qs,Tc
33,markh,986106391.0,6.0,3.0,f,-,-,-,2744.0,0.0,0.0,XX,XX
56,pokibot,986106391.0,6.0,6.0,f,-,-,-,15959.0,0.0,0.0,XX,XX
76,AJ-sOOted,986106528.0,6.0,6.0,cc,c,c,f,168.0,50.0,0.0,XX,XX
60,RiverBoy,986106528.0,6.0,5.0,cc,f,-,-,3512.0,20.0,0.0,XX,XX
65,RobVegas,986106528.0,6.0,2.0,f,-,-,-,3101.0,0.0,0.0,XX,XX
34,SexyBoy,986106528.0,6.0,3.0,f,-,-,-,1738.0,0.0,0.0,XX,XX
2,hannibal,986106528.0,6.0,1.0,Br,b,b,b,627.0,70.0,140.0,XX,XX
58,pokibot,986106528.0,6.0,4.0,f,-,-,-,15959.0,0.0,0.0,XX,XX
77,AJ-sOOted,986106565.0,6.0,6.0,f,-,-,-,118.0,0.0,0.0,XX,XX
61,RiverBoy,986106565.0,6.0,5.0,f,-,-,-,3492.0,0.0,0.0,XX,XX
66,RobVegas,986106565.0,6.0,2.0,Bc,rf,-,-,3101.0,40.0,0.0,XX,XX
35,SexyBoy,986106565.0,6.0,3.0,Q,-,-,-,2048.0,0.0,0.0,XX,XX
3,hannibal,986106565.0,6.0,1.0,Br,br,-,-,697.0,50.0,90.0,XX,XX
59,pokibot,986106565.0,6.0,4.0,f,-,-,-,15959.0,0.0,0.0,XX,XX
83,AJ-sOOted,986107653.0,6.0,2.0,Bk,k,k,kf,1155.0,10.0,0.0,XX,XX
1,Johnny,986107653.0,6.0,5.0,c,k,k,f,775.0,10.0,0.0,XX,XX
1,QueenB,986107653.0,6.0,4.0,c,k,k,b,2104.0,30.0,60.0,XX,XX
105,RobVegas,986107653.0,6.0,1.0,Bc,k,k,kf,3621.0,10.0,0.0,XX,XX
99,pokibot,986107653.0,6.0,3.0,f,-,-,-,15479.0,0.0,0.0,XX,XX
0,xtptxu,986107653.0,6.0,6.0,f,-,-,-,825.0,0.0,0.0,XX,XX
0,Chlamydia,986111386.0,6.0,4.0,f,-,-,-,1287.0,0.0,0.0,XX,XX
35,Echo,986111386.0,6.0,6.0,f,-,-,-,1475.0,0.0,0.0,XX,XX
10,Grizzler,986111386.0,6.0,3.0,r,c,c,k,2273.0,50.0,0.0,Ks,Qd
10,JP789,986111386.0,6.0,2.0,Bc,b,b,k,2340.0,50.0,105.0,9s,9d
78,Johnny,986111386.0,6.0,5.0,f,-,-,-,1105.0,0.0,0.0,XX,XX
17,smeagn,986111386.0,6.0,1.0,Bf,-,-,-,1432.0,5.0,0.0,XX,XX
4,Chlamydia,986111550.0,6.0,6.0,r,b,b,b,1207.0,70.0,145.0,XX,XX
39,Echo,986111550.0,6.0,3.0,cc,kc,kc,kf,1395.0,50.0,0.0,XX,XX
14,Grizzler,986111550.0,6.0,5.0,f,-,-,-,2158.0,0.0,0.0,XX,XX
82,Johnny,986111550.0,6.0,2.0,Bc,kf,-,-,1330.0,20.0,0.0,XX,XX
135,pokibot,986111550.0,6.0,1.0,Bf,-,-,-,15294.0,5.0,0.0,XX,XX
21,smeagn,986111550.0,6.0,4.0,f,-,-,-,1357.0,0.0,0.0,XX,XX
5,Chlamydia,986111578.0,6.0,5.0,c,f,-,-,1282.0,10.0,0.0,XX,XX
40,Echo,986111578.0,6.0,2.0,Bk,f,-,-,1345.0,10.0,0.0,XX,XX
15,Grizzler,986111578.0,6.0,4.0,c,f,-,-,2158.0,10.0,0.0,XX,XX
83,Johnny,986111578.0,6.0,1.0,Bc,brc,bf,-,1310.0,70.0,0.0,XX,XX
136,pokibot,986111578.0,6.0,6.0,c,rc,c,rr,15289.0,170.0,0.0,Th,Ad
22,smeagn,986111578.0,6.0,3.0,c,cr,r,brc,1357.0,170.0,440.0,Qd,As
6,Chlamydia,986111642.0,6.0,4.0,r,rc,br,b,1272.0,130.0,330.0,Ts,9s
41,Echo,986111642.0,6.0,1.0,Bc,kf,-,-,1335.0,20.0,0.0,XX,XX
16,Grizzler,986111642.0,6.0,3.0,cc,f,-,-,2148.0,20.0,0.0,XX,XX
84,Johnny,986111642.0,6.0,6.0,c,r,rc,c,1240.0,130.0,0.0,Qd,Kd
137,pokibot,986111642.0,6.0,5.0,f,-,-,-,15119.0,0.0,0.0,XX,XX
23,smeagn,986111642.0,6.0,2.0,Bc,bf,-,-,1627.0,30.0,0.0,XX,XX
12,Chlamydia,986111994.0,6.0,5.0,f,-,-,-,1572.0,0.0,0.0,XX,XX
22,Grizzler,986111994.0,6.0,4.0,f,-,-,-,2113.0,0.0,0.0,XX,XX
19,JP789,986111994.0,6.0,3.0,f,-,-,-,2350.0,0.0,0.0,XX,XX
90,Johnny,986111994.0,6.0,2.0,Bk,b,b,b,855.0,60.0,0.0,2h,2d
143,pokibot,986111994.0,6.0,6.0,f,-,-,-,15024.0,0.0,0.0,XX,XX
4,shrader,986111994.0,6.0,1.0,Bc,kc,kc,kc,1641.0,60.0,120.0,3h,Th
13,Chlamydia,986112025.0,6.0,4.0,cc,f,-,-,1572.0,20.0,0.0,XX,XX
23,Grizzler,986112025.0,6.0,3.0,cc,b,-,-,2113.0,30.0,90.0,XX,XX
20,JP789,986112025.0,6.0,2.0,Bc,kf,-,-,2350.0,20.0,0.0,XX,XX
91,Johnny,986112025.0,6.0,1.0,Br,kf,-,-,795.0,20.0,0.0,XX,XX
144,pokibot,986112025.0,6.0,5.0,f,-,-,-,15024.0,0.0,0.0,XX,XX
5,shrader,986112025.0,6.0,6.0,f,-,-,-,1701.0,0.0,0.0,XX,XX
14,Chlamydia,986112062.0,6.0,3.0,r,b,b,b,1552.0,70.0,135.0,XX,XX
24,Grizzler,986112062.0,6.0,2.0,Bf,-,-,-,2173.0,10.0,0.0,XX,XX
21,JP789,986112062.0,6.0,1.0,Bf,-,-,-,2330.0,5.0,0.0,XX,XX
92,Johnny,986112062.0,6.0,6.0,f,-,-,-,775.0,0.0,0.0,XX,XX
145,pokibot,986112062.0,6.0,4.0,f,-,-,-,15024.0,0.0,0.0,XX,XX
6,shrader,986112062.0,6.0,5.0,c,c,c,f,1701.0,50.0,0.0,XX,XX
15,Chlamydia,986112086.0,6.0,2.0,Bk,kQ,-,-,1617.0,10.0,0.0,XX,XX
25,Grizzler,986112086.0,6.0,1.0,Bc,kf,-,-,2163.0,10.0,0.0,XX,XX
22,JP789,986112086.0,6.0,6.0,c,bc,rc,k,2325.0,90.0,105.0,Th,7h
93,Johnny,986112086.0,6.0,5.0,c,kr,br,k,775.0,90.0,105.0,Qd,7c
146,pokibot,986112086.0,6.0,3.0,f,-,-,-,15024.0,0.0,0.0,XX,XX
7,shrader,986112086.0,6.0,4.0,c,kf,-,-,1651.0,10.0,0.0,XX,XX
32,Grizzler,986112274.0,6.0,6.0,f,-,-,-,2103.0,0.0,0.0,XX,XX
29,JP789,986112274.0,6.0,5.0,f,-,-,-,2285.0,0.0,0.0,XX,XX
100,Johnny,986112274.0,6.0,3.0,cc,kf,-,-,785.0,20.0,0.0,XX,XX
153,pokibot,986112274.0,6.0,1.0,Bc,kf,-,-,15149.0,20.0,0.0,XX,XX
14,shrader,986112274.0,6.0,2.0,Bf,-,-,-,1626.0,10.0,0.0,XX,XX
0,skitch,986112274.0,6.0,4.0,r,b,-,-,3654.0,30.0,80.0,XX,XX
33,Grizzler,986112303.0,6.0,5.0,f,-,-,-,2103.0,0.0,0.0,XX,XX
30,JP789,986112303.0,6.0,4.0,f,-,-,-,2285.0,0.0,0.0,XX,XX
101,Johnny,986112303.0,6.0,2.0,Bc,b,b,-,765.0,50.0,85.0,XX,XX
154,pokibot,986112303.0,6.0,6.0,r,c,f,-,15129.0,30.0,0.0,XX,XX
15,shrader,986112303.0,6.0,1.0,Bf,-,-,-,1616.0,5.0,0.0,XX,XX
1,skitch,986112303.0,6.0,3.0,f,-,-,-,3704.0,0.0,0.0,XX,XX
34,Grizzler,986112323.0,6.0,4.0,c,f,-,-,2103.0,10.0,0.0,XX,XX
31,JP789,986112323.0,6.0,3.0,f,-,-,-,2285.0,0.0,0.0,XX,XX
102,Johnny,986112323.0,6.0,1.0,Bc,kc,k,k,800.0,20.0,0.0,4s,8d
155,pokibot,986112323.0,6.0,5.0,f,-,-,-,15099.0,0.0,0.0,XX,XX
16,shrader,986112323.0,6.0,6.0,c,f,-,-,1611.0,10.0,0.0,XX,XX
2,skitch,986112323.0,6.0,2.0,Bk,b,k,k,3704.0,20.0,60.0,7d,Tc
35,Grizzler,986112353.0,6.0,3.0,f,-,-,-,2093.0,0.0,0.0,XX,XX
32,JP789,986112353.0,6.0,2.0,Bk,b,b,b,2285.0,60.0,0.0,As,Qs
103,Johnny,986112353.0,6.0,6.0,c,c,f,-,780.0,20.0,0.0,XX,XX
156,pokibot,986112353.0,6.0,4.0,f,-,-,-,15099.0,0.0,0.0,XX,XX
17,shrader,986112353.0,6.0,5.0,c,c,c,c,1601.0,60.0,160.0,Ts,Kc
3,skitch,986112353.0,6.0,1.0,Bc,kc,kf,-,3744.0,20.0,0.0,XX,XX
76,Grizzler,986114231.0,6.0,3.0,c,f,-,-,2708.0,10.0,0.0,XX,XX
73,JP789,986114231.0,6.0,2.0,Bk,f,-,-,2330.0,10.0,0.0,XX,XX
36,Loki,986114231.0,6.0,6.0,f,-,-,-,16315.0,0.0,0.0,XX,XX
36,Moron,986114231.0,6.0,1.0,Bc,b,-,-,1788.0,20.0,60.0,XX,XX
40,TheBlind,986114231.0,6.0,4.0,c,f,-,-,1255.0,10.0,0.0,XX,XX
197,pokibot,986114231.0,6.0,5.0,c,f,-,-,14954.0,10.0,0.0,XX,XX
78,JP789,986114400.0,6.0,4.0,r,-,-,-,2255.0,20.0,35.0,XX,XX
41,Loki,986114400.0,6.0,1.0,Bf,-,-,-,16260.0,5.0,0.0,XX,XX
41,Moron,986114400.0,6.0,2.0,Bf,-,-,-,1768.0,10.0,0.0,XX,XX
45,TheBlind,986114400.0,6.0,5.0,f,-,-,-,1255.0,0.0,0.0,XX,XX
202,pokibot,986114400.0,6.0,6.0,f,-,-,-,15014.0,0.0,0.0,XX,XX
48,skitch,986114400.0,6.0,3.0,f,-,-,-,3714.0,0.0,0.0,XX,XX
79,JP789,986114411.0,6.0,3.0,f,-,-,-,2270.0,0.0,0.0,XX,XX
42,Loki,986114411.0,6.0,6.0,f,-,-,-,16255.0,0.0,0.0,XX,XX
42,Moron,986114411.0,6.0,1.0,Bf,-,-,-,1758.0,5.0,0.0,XX,XX
46,TheBlind,986114411.0,6.0,4.0,f,-,-,-,1255.0,0.0,0.0,XX,XX
203,pokibot,986114411.0,6.0,5.0,r,-,-,-,15014.0,20.0,35.0,XX,XX
49,skitch,986114411.0,6.0,2.0,Bf,-,-,-,3714.0,10.0,0.0,XX,XX
80,JP789,986114425.0,6.0,2.0,Bc,b,b,b,2270.0,70.0,83.0,Qs,Kh
43,Loki,986114425.0,6.0,5.0,f,-,-,-,16255.0,0.0,0.0,XX,XX
43,Moron,986114425.0,6.0,6.0,f,-,-,-,1753.0,0.0,0.0,XX,XX
47,TheBlind,986114425.0,6.0,3.0,cc,f,-,-,1255.0,20.0,0.0,XX,XX
204,pokibot,986114425.0,6.0,4.0,r,c,c,c,15029.0,70.0,82.0,Ks,Qh
50,skitch,986114425.0,6.0,1.0,Bf,-,-,-,3704.0,5.0,0.0,XX,XX
52,Fish_man,986116268.0,6.0,3.0,rr,k,b,b,1064.0,80.0,0.0,Qc,8s
1,Hunter,986116268.0,6.0,4.0,f,-,-,-,1595.0,0.0,0.0,XX,XX
133,JP789,986116268.0,6.0,5.0,rc,k,c,c,2838.0,80.0,175.0,Ks,Ts
0,kd,986116268.0,6.0,6.0,f,-,-,-,1797.0,0.0,0.0,XX,XX
257,pokibot,986116268.0,6.0,1.0,Bf,-,-,-,14746.0,5.0,0.0,XX,XX
103,skitch,986116268.0,6.0,2.0,Bf,-,-,-,3884.0,10.0,0.0,XX,XX
53,Fish_man,986116304.0,6.0,2.0,Bk,brc,kc,kc,984.0,90.0,0.0,7d,Th
2,Hunter,986116304.0,6.0,3.0,c,rr,b,b,1595.0,90.0,185.0,Ah,Jh
134,JP789,986116304.0,6.0,4.0,f,-,-,-,2933.0,0.0,0.0,XX,XX
1,kd,986116304.0,6.0,5.0,f,-,-,-,1797.0,0.0,0.0,XX,XX
258,pokibot,986116304.0,6.0,6.0,f,-,-,-,14741.0,0.0,0.0,XX,XX
104,skitch,986116304.0,6.0,1.0,Bf,-,-,-,3874.0,5.0,0.0,XX,XX
54,Fish_man,986116387.0,6.0,1.0,Br,bc,k,b,894.0,70.0,200.0,Td,Jh
3,Hunter,986116387.0,6.0,2.0,Bc,f,-,-,1690.0,30.0,0.0,XX,XX
135,JP789,986116387.0,6.0,3.0,f,-,-,-,2933.0,0.0,0.0,XX,XX
2,kd,986116387.0,6.0,4.0,f,-,-,-,1797.0,0.0,0.0,XX,XX
259,pokibot,986116387.0,6.0,5.0,cc,f,-,-,14741.0,30.0,0.0,XX,XX
105,skitch,986116387.0,6.0,6.0,rc,r,k,c,3869.0,70.0,0.0,Ad,Js
55,Fish_man,986116421.0,6.0,6.0,r,b,b,k,1024.0,50.0,0.0,Qc,8d
4,Hunter,986116421.0,6.0,1.0,Bc,kc,kf,-,1660.0,30.0,0.0,XX,XX
136,JP789,986116421.0,6.0,2.0,Bf,-,-,-,2933.0,10.0,0.0,XX,XX
3,kd,986116421.0,6.0,3.0,f,-,-,-,1797.0,0.0,0.0,XX,XX
260,pokibot,986116421.0,6.0,4.0,cc,kf,-,-,14711.0,20.0,0.0,XX,XX
106,skitch,986116421.0,6.0,5.0,cc,kc,kc,k,3799.0,50.0,160.0,8h,Kh
56,Fish_man,986116470.0,6.0,5.0,f,-,-,-,974.0,0.0,0.0,XX,XX
5,Hunter,986116470.0,6.0,6.0,f,-,-,-,1630.0,0.0,0.0,XX,XX
137,JP789,986116470.0,6.0,1.0,Bf,-,-,-,2923.0,5.0,0.0,XX,XX
4,kd,986116470.0,6.0,2.0,Br,brc,brc,bf,1797.0,170.0,0.0,XX,XX
261,pokibot,986116470.0,6.0,3.0,rc,rr,rr,r,14691.0,190.0,395.0,XX,XX
107,skitch,986116470.0,6.0,4.0,cc,f,-,-,3909.0,30.0,0.0,XX,XX
57,Fish_man,986116537.0,6.0,4.0,r,r,r,b,974.0,100.0,210.0,Qd,Jh
6,Hunter,986116537.0,6.0,5.0,f,-,-,-,1630.0,0.0,0.0,XX,XX
138,JP789,986116537.0,6.0,6.0,f,-,-,-,2918.0,0.0,0.0,XX,XX
5,kd,986116537.0,6.0,1.0,Bc,bc,bc,kc,1627.0,100.0,0.0,8s,Qs
262,pokibot,986116537.0,6.0,2.0,Bf,-,-,-,14896.0,10.0,0.0,XX,XX
108,skitch,986116537.0,6.0,3.0,f,-,-,-,3879.0,0.0,0.0,XX,XX
58,Fish_man,986116573.0,6.0,3.0,r,kf,-,-,1084.0,20.0,0.0,XX,XX
7,Hunter,986116573.0,6.0,4.0,c,kf,-,-,1630.0,20.0,0.0,XX,XX
139,JP789,986116573.0,6.0,5.0,f,-,-,-,2918.0,0.0,0.0,XX,XX
6,kd,986116573.0,6.0,6.0,c,b,-,-,1527.0,30.0,85.0,XX,XX
263,pokibot,986116573.0,6.0,1.0,Bf,-,-,-,14886.0,5.0,0.0,XX,XX
109,skitch,986116573.0,6.0,2.0,Bf,-,-,-,3879.0,10.0,0.0,XX,XX
59,Fish_man,986116598.0,6.0,2.0,Bc,kr,-,-,1064.0,40.0,130.0,XX,XX
8,Hunter,986116598.0,6.0,3.0,cc,kf,-,-,1610.0,20.0,0.0,XX,XX
140,JP789,986116598.0,6.0,4.0,r,kf,-,-,2918.0,20.0,0.0,XX,XX
7,kd,986116598.0,6.0,5.0,c,bf,-,-,1582.0,30.0,0.0,XX,XX
264,pokibot,986116598.0,6.0,6.0,f,-,-,-,14881.0,0.0,0.0,XX,XX
110,skitch,986116598.0,6.0,1.0,Bc,kf,-,-,3869.0,20.0,0.0,XX,XX
60,Fish_man,986116635.0,6.0,1.0,Br,b,-,-,1154.0,30.0,60.0,XX,XX
9,Hunter,986116635.0,6.0,2.0,Bf,-,-,-,1590.0,10.0,0.0,XX,XX
141,JP789,986116635.0,6.0,3.0,f,-,-,-,2898.0,0.0,0.0,XX,XX
8,kd,986116635.0,6.0,4.0,f,-,-,-,1552.0,0.0,0.0,XX,XX
265,pokibot,986116635.0,6.0,5.0,cc,f,-,-,14881.0,20.0,0.0,XX,XX
111,skitch,986116635.0,6.0,6.0,f,-,-,-,3849.0,0.0,0.0,XX,XX
61,Fish_man,986116646.0,6.0,6.0,c,k,f,-,1184.0,10.0,0.0,XX,XX
10,Hunter,986116646.0,6.0,1.0,Bc,k,b,-,1580.0,30.0,70.0,XX,XX
142,JP789,986116646.0,6.0,2.0,Bk,k,f,-,2898.0,10.0,0.0,XX,XX
9,kd,986116646.0,6.0,3.0,f,-,-,-,1552.0,0.0,0.0,XX,XX
266,pokibot,986116646.0,6.0,4.0,c,k,f,-,14861.0,10.0,0.0,XX,XX
112,skitch,986116646.0,6.0,5.0,c,k,f,-,3849.0,10.0,0.0,XX,XX
62,Fish_man,986116705.0,6.0,5.0,rr,c,r,k,1174.0,90.0,0.0,5s,2s
11,Hunter,986116705.0,6.0,6.0,f,-,-,-,1620.0,0.0,0.0,XX,XX
143,JP789,986116705.0,6.0,1.0,Brc,b,bc,k,2888.0,90.0,190.0,Jc,Jd
10,kd,986116705.0,6.0,2.0,Bf,-,-,-,1552.0,10.0,0.0,XX,XX
267,pokibot,986116705.0,6.0,3.0,f,-,-,-,14851.0,0.0,0.0,XX,XX
113,skitch,986116705.0,6.0,4.0,f,-,-,-,3839.0,0.0,0.0,XX,XX
63,Fish_man,986116737.0,6.0,4.0,r,b,-,-,1084.0,30.0,80.0,XX,XX
12,Hunter,986116737.0,6.0,5.0,f,-,-,-,1620.0,0.0,0.0,XX,XX
144,JP789,986116737.0,6.0,6.0,f,-,-,-,2988.0,0.0,0.0,XX,XX
11,kd,986116737.0,6.0,1.0,Bc,kf,-,-,1542.0,20.0,0.0,XX,XX
268,pokibot,986116737.0,6.0,2.0,Bf,-,-,-,14851.0,10.0,0.0,XX,XX
114,skitch,986116737.0,6.0,3.0,cc,kf,-,-,3839.0,20.0,0.0,XX,XX
64,Fish_man,986116759.0,6.0,3.0,r,kf,-,-,1134.0,20.0,0.0,XX,XX
13,Hunter,986116759.0,6.0,4.0,c,kf,-,-,1620.0,20.0,0.0,XX,XX
145,JP789,986116759.0,6.0,5.0,c,b,-,-,2988.0,30.0,85.0,XX,XX
12,kd,986116759.0,6.0,6.0,f,-,-,-,1522.0,0.0,0.0,XX,XX
269,pokibot,986116759.0,6.0,1.0,Bf,-,-,-,14841.0,5.0,0.0,XX,XX
115,skitch,986116759.0,6.0,2.0,Bf,-,-,-,3819.0,10.0,0.0,XX,XX
65,Fish_man,986116776.0,6.0,2.0,Bc,krr,kc,k,1114.0,80.0,0.0,Qd,7c
14,Hunter,986116776.0,6.0,3.0,f,-,-,-,1600.0,0.0,0.0,XX,XX
146,JP789,986116776.0,6.0,4.0,r,brc,b,k,3043.0,80.0,165.0,Kd,Ks
13,kd,986116776.0,6.0,5.0,f,-,-,-,1522.0,0.0,0.0,XX,XX
270,pokibot,986116776.0,6.0,6.0,f,-,-,-,14836.0,0.0,0.0,XX,XX
116,skitch,986116776.0,6.0,1.0,Bf,-,-,-,3809.0,5.0,0.0,XX,XX
66,Fish_man,986116800.0,6.0,1.0,Bc,b,b,b,1034.0,70.0,0.0,9d,2c
15,Hunter,986116800.0,6.0,2.0,Bf,-,-,-,1600.0,10.0,0.0,XX,XX
147,JP789,986116800.0,6.0,3.0,r,c,c,c,3128.0,70.0,150.0,Ah,2h
14,kd,986116800.0,6.0,4.0,f,-,-,-,1522.0,0.0,0.0,XX,XX
271,pokibot,986116800.0,6.0,5.0,f,-,-,-,14836.0,0.0,0.0,XX,XX
117,skitch,986116800.0,6.0,6.0,f,-,-,-,3804.0,0.0,0.0,XX,XX
67,Fish_man,986116820.0,6.0,6.0,c,f,-,-,964.0,20.0,0.0,XX,XX
16,Hunter,986116820.0,6.0,1.0,Bf,-,-,-,1590.0,5.0,0.0,XX,XX
148,JP789,986116820.0,6.0,2.0,Bf,-,-,-,3208.0,10.0,0.0,XX,XX
15,kd,986116820.0,6.0,3.0,f,-,-,-,1522.0,0.0,0.0,XX,XX
272,pokibot,986116820.0,6.0,4.0,r,kf,-,-,14836.0,20.0,0.0,XX,XX
118,skitch,986116820.0,6.0,5.0,c,b,-,-,3804.0,30.0,85.0,XX,XX
68,Fish_man,986116841.0,6.0,5.0,f,-,-,-,944.0,0.0,0.0,XX,XX
17,Hunter,986116841.0,6.0,6.0,f,-,-,-,1585.0,0.0,0.0,XX,XX
149,JP789,986116841.0,6.0,1.0,Bc,b,-,-,3198.0,30.0,60.0,XX,XX
16,kd,986116841.0,6.0,2.0,Bf,-,-,-,1522.0,10.0,0.0,XX,XX
273,pokibot,986116841.0,6.0,3.0,r,f,-,-,14816.0,20.0,0.0,XX,XX
119,skitch,986116841.0,6.0,4.0,f,-,-,-,3859.0,0.0,0.0,XX,XX
109,Fish_man,986118917.0,6.0,2.0,Bc,kr,bc,kc,780.0,110.0,0.0,Ks,5d
156,Grizzler,986118917.0,6.0,4.0,r,bc,cc,kf,2595.0,90.0,0.0,XX,XX
18,Toddler,986118917.0,6.0,3.0,f,-,-,-,2890.0,0.0,0.0,XX,XX
21,jd,986118917.0,6.0,5.0,c,rc,r,b,2379.0,110.0,315.0,7h,Kd
32,nyaji,986118917.0,6.0,1.0,Bf,-,-,-,2866.0,5.0,0.0,XX,XX
315,pokibot,986118917.0,6.0,6.0,f,-,-,-,14641.0,0.0,0.0,XX,XX
110,Fish_man,986118957.0,6.0,1.0,Brc,kf,-,-,670.0,40.0,0.0,XX,XX
157,Grizzler,986118957.0,6.0,3.0,rr,bc,kc,kc,2505.0,100.0,0.0,Kd,Ah
19,Toddler,986118957.0,6.0,2.0,Bcc,kf,-,-,2890.0,40.0,0.0,XX,XX
22,jd,986118957.0,6.0,4.0,f,-,-,-,2584.0,0.0,0.0,XX,XX
33,nyaji,986118957.0,6.0,6.0,cc,r,b,b,2861.0,100.0,320.0,Qd,2d
316,pokibot,986118957.0,6.0,5.0,cc,f,-,-,14641.0,40.0,0.0,XX,XX
111,Fish_man,986119013.0,6.0,6.0,c,r,b,k,630.0,60.0,0.0,5s,Jc
158,Grizzler,986119013.0,6.0,2.0,Bc,kf,-,-,2405.0,20.0,0.0,XX,XX
20,Toddler,986119013.0,6.0,1.0,Bf,-,-,Q,2850.0,5.0,0.0,XX,XX
23,jd,986119013.0,6.0,3.0,cc,bc,kc,k,2584.0,60.0,225.0,7d,Jh
34,nyaji,986119013.0,6.0,5.0,c,cc,kc,k,3081.0,60.0,0.0,Kd,8d
317,pokibot,986119013.0,6.0,4.0,r,f,-,-,14601.0,20.0,0.0,XX,XX
0,ArmyNoVA,986119264.0,6.0,4.0,f,-,-,-,1330.0,0.0,0.0,XX,XX
122,Fish_man,986119264.0,6.0,3.0,rc,br,b,bc,355.0,120.0,0.0,Js,5d
169,Grizzler,986119264.0,6.0,5.0,cc,cc,f,-,2350.0,60.0,0.0,XX,XX
2,MistyAZ2,986119264.0,6.0,2.0,Bc,kf,-,-,1453.0,30.0,0.0,XX,XX
34,jd,986119264.0,6.0,6.0,r,rc,c,r,2769.0,120.0,335.0,As,Ah
328,pokibot,986119264.0,6.0,1.0,Bf,-,-,-,14656.0,5.0,0.0,XX,XX
1,ArmyNoVA,986119299.0,6.0,3.0,f,-,-,-,1330.0,0.0,0.0,XX,XX
123,Fish_man,986119299.0,6.0,2.0,Bk,b,b,-,235.0,40.0,80.0,XX,XX
170,Grizzler,986119299.0,6.0,4.0,f,-,-,-,2290.0,0.0,0.0,XX,XX
3,MistyAZ2,986119299.0,6.0,1.0,Bc,kc,kf,-,1423.0,20.0,0.0,XX,XX
35,jd,986119299.0,6.0,5.0,c,c,f,-,2984.0,20.0,0.0,XX,XX
329,pokibot,986119299.0,6.0,6.0,f,-,-,-,14651.0,0.0,0.0,XX,XX
2,ArmyNoVA,986119334.0,6.0,2.0,Bf,-,-,-,1330.0,10.0,0.0,XX,XX
124,Fish_man,986119334.0,6.0,1.0,Br,brc,brc,brc,275.0,220.0,0.0,2c,Th
171,Grizzler,986119334.0,6.0,3.0,cc,rr,rr,rr,2290.0,220.0,345.0,9h,Jh
4,MistyAZ2,986119334.0,6.0,6.0,cc,f,-,-,1403.0,20.0,0.0,XX,XX
36,jd,986119334.0,6.0,4.0,cc,cc,cc,cc,2964.0,220.0,345.0,Ks,Js
330,pokibot,986119334.0,6.0,5.0,f,-,-,-,14651.0,0.0,0.0,XX,XX
3,ArmyNoVA,986119378.0,6.0,1.0,Bc,krr,b,-,1320.0,80.0,215.0,Kd,Qc
125,Fish_man,986119378.0,6.0,6.0,r,brcA,-,-,55.0,55.0,0.0,3s,Kc
172,Grizzler,986119378.0,6.0,2.0,Bc,kf,-,-,2415.0,20.0,0.0,XX,XX
5,MistyAZ2,986119378.0,6.0,5.0,f,-,-,-,1383.0,0.0,0.0,XX,XX
37,jd,986119378.0,6.0,3.0,cc,kcc,f,-,3089.0,60.0,0.0,XX,XX
331,pokibot,986119378.0,6.0,4.0,f,-,-,-,14651.0,0.0,0.0,XX,XX
17,ArmyNoVA,986119977.0,6.0,6.0,f,-,-,-,1410.0,0.0,0.0,XX,XX
186,Grizzler,986119977.0,6.0,1.0,B,-,-,-,2660.0,10.0,10.0,XX,XX
19,MistyAZ2,986119977.0,6.0,4.0,f,-,-,-,1658.0,0.0,0.0,XX,XX
12,SirPlus,986119977.0,6.0,5.0,f,-,-,-,1518.0,0.0,0.0,XX,XX
51,jd,986119977.0,6.0,2.0,f,-,-,-,3114.0,0.0,0.0,XX,XX
345,pokibot,986119977.0,6.0,3.0,f,-,-,-,14436.0,0.0,0.0,XX,XX
18,ArmyNoVA,986119996.0,6.0,6.0,f,-,-,-,1410.0,0.0,0.0,XX,XX
187,Grizzler,986119996.0,6.0,1.0,Bf,-,-,-,2660.0,5.0,0.0,XX,XX
20,MistyAZ2,986119996.0,6.0,4.0,c,k,kf,-,1658.0,10.0,0.0,XX,XX
13,SirPlus,986119996.0,6.0,5.0,c,k,b,-,1518.0,30.0,55.0,XX,XX
52,jd,986119996.0,6.0,2.0,Bk,k,kf,-,3114.0,10.0,0.0,XX,XX
346,pokibot,986119996.0,6.0,3.0,f,-,-,-,14436.0,0.0,0.0,XX,XX
19,ArmyNoVA,986120030.0,6.0,5.0,f,-,-,-,1410.0,0.0,0.0,XX,XX
